,business_status,name,place_id,price_level,rating,user_ratings_total
0,OPERATIONAL,La Tonalteca - Scranton PA,ChIJJ_Dvlq_ZxIkRkmPo2AAn-78,2.0,4.3,1043.0
1,OPERATIONAL,Applebee's Grill + Bar,ChIJeeoml6_ZxIkR4gpya51wqFQ,2.0,4.2,1027.0
2,OPERATIONAL,Perkins Restaurant & Bakery,ChIJx-L7LrvZxIkRErNgliMbcPM,2.0,4.1,1133.0
3,OPERATIONAL,Sun Gourmet,ChIJ25Eel6_ZxIkRwFi18_6mjwc,,4.3,51.0
4,OPERATIONAL,Buffalo Wild Wings,ChIJJ_JfmKXZxIkRdHRRNNTMotQ,2.0,3.7,792.0
5,OPERATIONAL,Rita's Italian Ice & Frozen Custard,ChIJnzsro1rZxIkRbrb_M5G6PZk,1.0,4.7,103.0
6,OPERATIONAL,Jersey Mike's Subs,ChIJieQiBLvZxIkRxlxQvPPlnWE,1.0,4.5,547.0
7,OPERATIONAL,Greek American Grill,ChIJ3TtoTOvZxIkRKy-88mVByJY,2.0,4.5,593.0
8,OPERATIONAL,KFC,ChIJjXGmlgLZxIkRf9KRRplJzzk,1.0,3.4,879.0
9,OPERATIONAL,The Honey Baked Ham Company,ChIJp-wliLvZxIkRYUUb6ditSAc,2.0,4.6,61.0
10,OPERATIONAL,Denny's,ChIJJYScs7rZxIkRrJ5QTvhk6So,1.0,4.0,1270.0
11,CLOSED_TEMPORARILY,Sheetz,ChIJj5ljer7ZxIkRXEfBIjtXz6I,1.0,3.9,83.0
12,OPERATIONAL,TGI Fridays,ChIJz5yFC7vZxIkRiRC1d_lfEZQ,2.0,4.1,1204.0
13,OPERATIONAL,Subway,ChIJHYxCFf3YxIkRrN3L1lqqXSI,1.0,4.3,45.0
14,OPERATIONAL,Five Guys,ChIJd_UDdLzZxIkRVNjTIZx1vY4,2.0,4.4,997.0
15,OPERATIONAL,Long John Silver's,ChIJmVyC6PrRxIkR0qlLMWonpNM,1.0,3.8,397.0
16,OPERATIONAL,Viewmont Diner,ChIJj5ljer7ZxIkRycZ_Z0CqE28,1.0,4.4,1024.0
17,OPERATIONAL,B f i c & joey doughnuts,ChIJbUdMXY3ZxIkRgmGjfryLF6g,,4.2,5.0
18,CLOSED_TEMPORARILY,Cangiano's,ChIJNyOvva_ZxIkRz6hf3gVtuek,1.0,4.5,136.0
19,OPERATIONAL,Angelo's Pizzateria,ChIJJ_JfmKXZxIkRLJ_xPqdBAmk,1.0,3.8,32.0
20,OPERATIONAL,Texas Roadhouse,ChIJBUDQTpbZxIkRGnc4H4tGC64,2.0,4.5,2607.0
21,CLOSED_TEMPORARILY,Subway,ChIJqc93WpbZxIkRXMzJwcaSM18,1.0,4.0,23.0
22,OPERATIONAL,Subway,ChIJW3sw8pPZxIkRuSveQ3r-Cn0,1.0,3.7,30.0
23,OPERATIONAL,Panera Bread,ChIJIx6oUJbZxIkRjkZQFwLPNjE,2.0,4.1,688.0
24,OPERATIONAL,Colarusso's Coal Fire Pizza,ChIJ8aGB8pPZxIkRy6S8rcLcQ60,2.0,4.4,366.0
25,OPERATIONAL,Olive Garden Italian Restaurant,ChIJ3a_opOzZxIkRHbk3ySxx90g,2.0,4.2,1803.0
26,OPERATIONAL,Applebee's Grill + Bar,ChIJeeoml6_ZxIkR4gpya51wqFQ,2.0,4.2,1027.0
27,OPERATIONAL,Taco Bell,ChIJmR5GM5bZxIkR36jZlxp6Xxg,1.0,4.0,1074.0
28,OPERATIONAL,Perkins Restaurant & Bakery,ChIJx-L7LrvZxIkRErNgliMbcPM,2.0,4.1,1133.0
29,OPERATIONAL,Chipotle Mexican Grill,ChIJBdPKNZbZxIkRq-5n-0NV4G0,1.0,4.1,649.0
30,OPERATIONAL,Primanti Bros. Restaurant and Bar Dickson City,ChIJ99LKNZbZxIkRgGBk_B50Mbc,1.0,4.0,1170.0
31,OPERATIONAL,The Honey Baked Ham Company,ChIJp-wliLvZxIkRYUUb6ditSAc,2.0,4.6,61.0
32,OPERATIONAL,"Eagle Billiards, LLC",ChIJ0abNK7zZxIkRN-Gy8YJGA3M,1.0,4.7,123.0
33,OPERATIONAL,Happy Valley Sports Bar,ChIJ96BC4ojZxIkRVlmYTdQinZM,2.0,4.7,334.0
34,OPERATIONAL,Rita's Italian Ice & Frozen Custard,ChIJnzsro1rZxIkRbrb_M5G6PZk,1.0,4.7,103.0
